issue,output,5_1examples,5_2examples,5_3examples,5_4examples,5_5examples,10_1examples,10_2examples,10_3examples,10_4examples,10_5examples,15_1examples,15_2examples,15_3examples,15_4examples,15_5examples
""""""" Hi, I'm having a problem with following code [<-CODE->]. But at the error line. mutable can be{ type : 'one', next : SomeType }. If next has a type other than SomeType, it will be OK. Also, if mutable.next is not assigned to variablemutable, it will also be OK """"""",No sentences found to indicate the user's expectation. The answer is NO.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
""""""" I moved my api to be served over https, and now my angular calls all fail with XHR failed loading: OPTIONS, calls to the api with postman still work fine, do I need to do something on the browser side, or do I need something in my angular code to enable https calls? do I maybe need my own localhost certificate? """"""",No sentences found to indicate the user's expectation. The answer is NO.,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
""""""" Hi - is there a way to wait for element to be present in angular2. I useng AfterViewInit() for the initial load which works fine. But after user interaction the element goes away and is recreated based on new data...at this point angular does not know the element exists or not right now i have resorted tosetTimeout() which I don't like there must be a angular way """"""","The sentence """""" is there a way to wait for element to be present in angular2. """""" uses <pattern>is there a way to VB</pattern> to indicate that the user expects to ""wait for element to be present in angular2"". The answer is YES.",0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
""""""" Does anyone know why there is anngSubmitEventEmitter? When looking at the source ofngForm, it listens for a submit Event and then emits thengSubmitemitter. But I don't see any reason why there is a separate Event... """"""",No sentences found to indicate the user's expectation. The answer is NO.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
""""""" Hello! Could you please tell me what is the best way to reload component? I tried to navigate to the same route but it doesn't work: [code]; I'm using latest version of angular (2.2.1) """"""","The sentence """""" what is the best way to reload component? """""" uses <pattern>be the best way to VB</pattern> to indicate that the user expects to ""reload component"". The answer is YES.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
""""""" Is it possible te map users in docker-compose? I have a container that runs aswww-dataand I'd like to map this user to my local user so the container can edit files in my workspace """"""","The sentence """""" Is it possible te map users in docker-compose? """""" uses <pattern>is it possible to VB</pattern> to indicate that the user expects to ""map users in docker-compose"". The answer is YES.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
""""""" hello all, I'm working in angular 11 with ngx-bootstrap 8.x and having a lot of difficulty with custom events, here's my code: [code]. ```error TS2345: Argument of type 'Event' is not assignable to parameter of type 'SortEvent'.   Type 'Event' is missing the following properties from type 'SortEvent'.``` sorry I meant here's my error. is there a work around for this? is custom events broke? how do I tell it what is in the Event?  """"""",No sentences found to indicate the user's expectation. The answer is NO.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
""""""" quick question for you folks... and not necessarily limited by just angular.... but do  you guys feel like building and deploying a js based SPA is suitable for business apps (not necessarily any more prone to hacking/tampering etc) """"""",No sentences found to indicate the user's expectation. The answer is NO.,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
""""""" When using VS Code, if the mouse cursor hovers over an item in code, a small window akin to an expanded tooltip pops up with information.  1) What is the official name for this feature?  2) Can the delay be configured?  It's annoying to have it pop up immediately and everywhere as I move the cursor around my code """"""",No sentences found to indicate the user's expectation. The answer is NO.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
""""""" Exception in thread ""main"" java.lang.ExceptionInInitializerErrorat org.deeplearning4j.nn.conf.NeuralNetConfiguration$Builder.seed (NeuralNetConfiguration.java:670) at deepLearning.PdpImageTraining.main (PdpImageTraining.java:75) can any one help me to get it out from this error """"""",No sentences found to indicate the user's expectation. The answer is NO.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
""""""" Hey guys, i am getting issue with Android sdk is not seen Nothing to do! Android SDK is up to date. SDK tools directory is missing I have downloaded new version of android studio 3.1.3 and installed and i couldnot find sdk director *directory Hello , can anyone help me """"""",No sentences found to indicate the user's expectation. The answer is NO.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
""""""" good evening, does anyone know where MLPMnistSingleLayerExample class loads the data from?  I've looked through the examples project and can't find it ahhh """"""",No sentences found to indicate the user's expectation. The answer is NO.,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
""""""" Hi i've just exchanged from btc to ether but it's been more than 12h and i haven't received the ether anyone knows anything ? """"""",No sentences found to indicate the user's expectation. The answer is NO.,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
""""""" If I use changeDetectorRef.detectChanges(), does that trigger change detection throughout the whole change detection tree or is it just the  component that calls the method and all of that component's children? """"""",No sentences found to indicate the user's expectation. The answer is NO.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
""""""" Hi, I am using  ""ng-pick-datetime"" so now i need to close the calendar on body click means whenever i am clicking outside the calendar so i am searching but i am not getting the close method of  ""ng-pick-datetime"" """"""","The sentence """""" i need to close the calendar on body click means """""" uses <pattern>need to VB</pattern> to indicate that the user expects to ""close the calendar"". The answer is YES.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
